Quarter E Date,Date,Ticker,Percentage Change,Percentage of ShOutI,Return of Stocks,Return of Market,Excess Return,In Sample
3/31/2016,5/20/2016,GOOG,,35.2227591,0.008947203,0.006019504,0.002927699,1
6/30/2016,8/19/2016,GOOG,-0.1788149,35.0439442,-0.003861695,-0.001440272,-0.002421423,1
9/30/2016,11/19/2016,GOOG,-0.1149561,34.9289881,-0.012961741,-0.002386798,-0.010574943,1
12/30/2016,2/18/2017,GOOG,-0.0289581,34.90003,0.005200856,0.001678556,0.0035223,1
3/30/2017,5/19/2017,GOOG,4.6240274,39.5240574,0.004366148,0.0067675,-0.002401352,1
6/30/2017,8/19/2017,GOOG,-5.5967899,33.9272675,-0.001595391,-0.001835367,0.000239976,0
9/30/2017,11/19/2017,GOOG,-0.2370122,33.6902553,-0.011998394,-0.002625963,-0.009372431,0
12/30/2017,2/18/2018,GOOG,0.730362,34.4206173,0.003793446,0.00037347,0.003419976,0
3/31/2016,5/20/2016,AAPL,,56.9703306,0.010828239,0.006019504,0.004808735,1
6/30/2016,8/19/2016,AAPL,-1.4737869,55.4965437,0.002566785,-0.001440272,0.004007057,1
9/30/2016,11/19/2016,AAPL,0.9087296,56.4052733,0.00100045,-0.002386798,0.003387248,1
12/30/2016,2/18/2017,AAPL,0.1281898,56.5334631,0.002733804,0.001678556,0.001055248,1
3/30/2017,5/19/2017,AAPL,3.1633141,59.6967772,0.015241152,0.0067675,0.008473652,1
6/30/2017,8/19/2017,AAPL,0.1100686,59.8068458,-0.002280502,-0.001835367,-0.000445135,0
9/30/2017,11/19/2017,AAPL,-1.0963419,58.7105039,-0.005552364,-0.002625963,-0.002926401,0
12/30/2017,2/18/2018,AAPL,1.9610803,60.6715842,-0.010813631,0.00037347,-0.011187101,0
3/31/2016,5/20/2016,TGT,,82.4489138,0.023859076,0.006019504,0.017839572,1
6/30/2016,8/19/2016,TGT,-3.8132155,78.6356983,-0.002560382,-0.001440272,-0.00112011,1
9/30/2016,11/19/2016,TGT,0.2504947,78.886193,0.000788148,-0.002386798,0.003174946,1
12/30/2016,2/18/2017,TGT,-0.5986305,78.2875625,0.009049104,0.001678556,0.007370548,1
3/30/2017,5/19/2017,TGT,-4.7404072,73.5471553,0.014353252,0.0067675,0.007585752,1
6/30/2017,8/19/2017,TGT,8.8969052,82.4440605,-0.008374827,-0.001835367,-0.00653946,0
9/30/2017,11/19/2017,TGT,3.6886788,86.1327393,0.055172495,-0.002625963,0.057798458,0
12/30/2017,2/18/2018,TGT,0.9453384,87.0780777,0.00663383,0.00037347,0.00626036,0
3/31/2016,5/20/2016,PFE,,74.1466134,0.010784875,0.006019504,0.004765371,1
6/30/2016,8/19/2016,PFE,-3.2474724,70.899141,-0.005967584,-0.001440272,-0.004527312,1
9/30/2016,11/19/2016,PFE,-0.1270355,70.7721055,-0.007878903,-0.002386798,-0.005492105,1
12/30/2016,2/18/2017,PFE,-0.0682485,70.703857,0,0.001678556,-0.001678556,1
3/30/2017,5/19/2017,PFE,-2.11867,68.585187,-0.000310222,0.0067675,-0.007077722,1
6/30/2017,8/19/2017,PFE,0.4374305,69.0226175,-0.008497733,-0.001835367,-0.006662366,0
9/30/2017,11/19/2017,PFE,0.8456914,69.8683089,-0.005343169,-0.002625963,-0.002717206,0
12/30/2017,2/18/2018,PFE,1.5907188,71.4590277,-0.00412422,0.00037347,-0.00449769,0
3/31/2016,5/20/2016,PEP,,69.7979641,-0.012138408,0.006019504,-0.018157912,1
6/30/2016,8/19/2016,PEP,1.069273,70.8672371,-0.001015829,-0.001440272,0.000424443,1
9/30/2016,11/19/2016,PEP,-0.0587469,70.8084902,-0.00305056,-0.002386798,-0.000663762,1
12/30/2016,2/18/2017,PEP,-0.2983701,70.5101201,0.00027746,0.001678556,-0.001401096,1
3/30/2017,5/19/2017,PEP,-0.7211507,69.7889694,0.002549749,0.0067675,-0.004217751,1
6/30/2017,8/19/2017,PEP,0.2399431,70.0289125,-0.006672815,-0.001835367,-0.004837448,0
9/30/2017,11/19/2017,PEP,-0.1917477,69.8371648,-0.004773084,-0.002625963,-0.002147121,0
12/30/2017,2/18/2018,PEP,1.0795292,70.916694,0.004775807,0.00037347,0.004402337,0
3/31/2016,5/20/2016,V,,90.3198937,0.010275616,0.006019504,0.004256112,1
6/30/2016,8/19/2016,V,-1.017931,89.3019627,0.002491859,-0.001440272,0.003932131,1
9/30/2016,11/19/2016,V,-0.0315451,89.2704176,-0.003083639,-0.002386798,-0.000696841,1
12/30/2016,2/18/2017,V,0.1517878,89.4222054,0.000571964,0.001678556,-0.001106592,1
3/30/2017,5/19/2017,V,2.6666168,92.0888222,-0.000545056,0.0067675,-0.007312556,1
6/30/2017,8/19/2017,V,-11.5224324,80.5663898,0.00342603,-0.001835367,0.005261397,0
9/30/2017,11/19/2017,V,-0.3476635,80.2187263,-0.010808859,-0.002625963,-0.008182896,0
12/30/2017,2/18/2018,V,13.2186577,93.437384,-0.002885838,0.00037347,-0.003259308,0
3/31/2016,5/20/2016,PYPL,,78.2551749,-0.003187331,0.006019504,-0.009206835,1
6/30/2016,8/19/2016,PYPL,0.1362874,78.3914623,-0.003401387,-0.001440272,-0.001961115,1
9/30/2016,11/19/2016,PYPL,1.7472725,80.1387348,0.00501507,-0.002386798,0.007401868,1
12/30/2016,2/18/2017,PYPL,1.0803306,81.2190654,-0.004507782,0.001678556,-0.006186338,1
3/30/2017,5/19/2017,PYPL,-1.2925246,79.9265408,0.001223282,0.0067675,-0.005544218,1
6/30/2017,8/19/2017,PYPL,2.1753515,82.1018923,0.002529904,-0.001835367,0.004365271,0
9/30/2017,11/19/2017,PYPL,-0.15708,81.9448123,-0.016988418,-0.002625963,-0.014362455,0
